sample,ECG,Filtered
281,3357.0,0.0
282,3325.0,0.0
283,3310.0,0.0
284,3334.0,1.0
285,3335.0,2.0
286,3341.0,0.0
287,2524.0,1.0
288,2223.0,12.0
289,1988.0,-25.0
290,2502.0,-83.0
291,3340.0,-459.0
292,3333.0,87.0
293,3340.0,539.0
294,3332.0,577.0
295,3335.0,655.0
296,3328.0,761.0
297,3334.0,782.0
298,3333.0,223.0
299,3321.0,-788.0
300,3338.0,-637.0
301,3324.0,41.0
302,3332.0,-3.0
303,3330.0,-6.0
304,3338.0,6.0
305,3303.0,3.0
306,3332.0,2.0
307,3336.0,17.0
308,3326.0,16.0
309,3327.0,11.0
310,3331.0,12.0
311,3335.0,14.0
312,3301.0,26.0
313,3335.0,29.0
314,3318.0,32.0
315,3307.0,31.0
316,3319.0,22.0
317,3329.0,22.0
318,3334.0,37.0
319,3317.0,45.0
320,3332.0,54.0
321,3334.0,57.0
322,3321.0,60.0
323,3319.0,62.0
324,3336.0,61.0
325,3298.0,31.0
326,3331.0,24.0
327,3311.0,35.0
328,3318.0,51.0
329,3313.0,54.0
330,3334.0,45.0
331,3336.0,33.0
332,3290.0,19.0
333,3334.0,-11.0
334,3357.0,-7.0
335,3334.0,2.0
336,3330.0,5.0
337,3330.0,1.0
338,3336.0,-2.0
339,3338.0,11.0
340,3331.0,-26.0
341,3330.0,-26.0
342,3332.0,15.0
343,3323.0,6.0
344,3334.0,-18.0
345,3319.0,-12.0
346,3336.0,11.0
347,3326.0,-2.0
348,3332.0,-1.0
349,3334.0,2.0
350,3335.0,2.0
351,3330.0,5.0
352,3321.0,-8.0
353,3299.0,18.0
354,3331.0,9.0
355,3333.0,-18.0
356,3298.0,2.0
357,3339.0,11.0
358,3333.0,5.0
359,3337.0,-14.0
360,3337.0,12.0
361,3292.0,12.0
362,3311.0,-5.0
363,3334.0,-1.0
364,3327.0,0.0
365,3268.0,0.0
366,3330.0,-1.0
367,3339.0,1.0
368,3336.0,-6.0
369,3329.0,8.0
370,3329.0,10.0
371,3322.0,7.0
372,3332.0,-3.0
373,3332.0,14.0
374,3333.0,0.0
375,3326.0,-8.0
376,3335.0,0.0
377,3287.0,-3.0
378,3307.0,0.0
379,3332.0,3.0
380,3337.0,2.0
381,3333.0,1.0
382,3323.0,0.0
383,3348.0,-3.0
384,3333.0,5.0
385,3333.0,4.0
386,3331.0,-1.0
387,3339.0,-2.0
388,3309.0,-3.0
389,3328.0,-4.0
390,3341.0,-4.0
391,3336.0,0.0
392,3336.0,1.0
393,3338.0,0.0
394,3335.0,4.0
395,3335.0,5.0
396,3330.0,5.0
397,3332.0,0.0
398,3327.0,-1.0
399,3328.0,1.0
400,3329.0,3.0
401,3334.0,-4.0
402,3332.0,-4.0
403,3338.0,-3.0
404,3328.0,3.0
405,3338.0,1.0
406,3332.0,-2.0
407,3335.0,-7.0
408,3288.0,-4.0
409,3330.0,11.0
410,3338.0,-1.0
411,3333.0,-11.0
412,3329.0,-2.0
413,3335.0,10.0
414,3338.0,8.0
415,3336.0,-7.0
416,3295.0,-7.0
417,3321.0,-4.0
418,3334.0,-1.0
419,3294.0,2.0
420,3340.0,-4.0
421,3338.0,-8.0
422,3336.0,-10.0
423,3338.0,-11.0
424,3318.0,-10.0
425,3325.0,7.0
426,3339.0,0.0
427,3336.0,-1.0
428,3329.0,-4.0
429,3338.0,-7.0
430,3325.0,-4.0
431,3326.0,-2.0
432,3322.0,5.0
433,3330.0,6.0
434,3337.0,-7.0
435,3292.0,-6.0
436,3297.0,-3.0
437,3323.0,3.0
438,3335.0,-3.0
439,3317.0,-2.0
440,3326.0,0.0
441,3327.0,0.0
442,3331.0,0.0
443,3334.0,-3.0
444,3324.0,-3.0
445,3337.0,0.0
446,3326.0,1.0
447,3302.0,0.0
448,3328.0,-3.0
449,3337.0,2.0
450,3336.0,1.0
451,3336.0,0.0
452,3332.0,-1.0
453,3324.0,-3.0
454,3311.0,-2.0
455,3334.0,0.0
456,3337.0,1.0
457,3334.0,0.0
458,3322.0,0.0
459,3326.0,0.0
460,3339.0,3.0
461,3335.0,4.0
462,3328.0,-1.0
463,3332.0,-2.0
464,3328.0,-1.0
465,3330.0,1.0
466,3289.0,2.0
467,3332.0,-4.0
468,3319.0,-2.0
469,3333.0,-2.0
470,3323.0,-2.0
471,3335.0,8.0
472,3306.0,-3.0
473,3325.0,2.0
474,3295.0,0.0
475,3329.0,-3.0
476,3333.0,-3.0
477,3296.0,0.0
478,3297.0,1.0
479,3337.0,-3.0
480,3331.0,-3.0
481,3338.0,-2.0
482,3330.0,0.0
483,3306.0,6.0
484,3296.0,5.0
485,3332.0,3.0
486,3288.0,1.0
487,3335.0,0.0
488,3327.0,0.0
489,3326.0,1.0
490,3336.0,-2.0
491,3309.0,0.0
492,3327.0,2.0
493,3332.0,2.0
494,3334.0,0.0
495,3336.0,-4.0
496,3322.0,0.0
497,3334.0,5.0
498,3330.0,4.0
499,3334.0,-1.0
500,3329.0,-1.0
501,3295.0,0.0
502,3329.0,-2.0
503,3331.0,-1.0
504,3325.0,3.0
505,3333.0,2.0
506,3330.0,1.0
507,3332.0,0.0
508,3332.0,1.0
509,3338.0,1.0
510,3322.0,-1.0
511,3335.0,0.0
512,3326.0,2.0
513,3331.0,1.0
514,3335.0,0.0
515,3410.0,3.0
516,3377.0,-3.0
517,3339.0,9.0
518,3332.0,-1.0
519,3335.0,0.0
520,3339.0,1.0
521,3333.0,-3.0
522,3273.0,-4.0
523,3333.0,3.0
524,3332.0,-10.0
525,3334.0,15.0
526,3338.0,28.0
527,3315.0,4.0
528,3339.0,-6.0
529,3334.0,-5.0
530,3332.0,-3.0
531,3293.0,0.0
532,3331.0,-6.0
533,3338.0,-4.0
534,3336.0,-2.0
535,3335.0,0.0
536,3329.0,1.0
537,3339.0,-5.0
538,3337.0,-7.0
539,3333.0,1.0
540,3319.0,0.0
541,3338.0,0.0
542,3310.0,-1.0
543,3338.0,-7.0
544,3326.0,-6.0
545,3338.0,0.0
546,3332.0,-4.0
547,3336.0,-4.0
548,3294.0,-4.0
549,3330.0,-5.0
550,3325.0,-2.0
551,3337.0,-11.0
552,3325.0,-10.0
553,3336.0,-8.0
554,3294.0,1.0
555,3324.0,-3.0
556,3295.0,-2.0
557,3335.0,0.0
558,3336.0,-2.0
559,3320.0,-5.0
560,3332.0,-5.0
561,3337.0,-4.0
562,3323.0,-3.0
563,3327.0,-3.0
564,3330.0,-4.0
565,3327.0,-5.0
566,3335.0,1.0
567,3335.0,0.0
568,3335.0,0.0
569,3333.0,0.0
570,3326.0,0.0
571,3335.0,0.0
572,3321.0,0.0
573,3312.0,5.0
574,3330.0,0.0
575,3327.0,0.0
576,3337.0,0.0
577,3333.0,0.0
578,3322.0,0.0
579,3278.0,0.0
580,3334.0,1.0
581,3325.0,1.0
582,3336.0,0.0
583,3338.0,-1.0
584,3331.0,-3.0
585,3304.0,-3.0
586,3319.0,-2.0
587,3296.0,0.0
588,3329.0,0.0
589,3312.0,0.0
