sample,raw,filtered
0,2282.0,0.0
1,1862.0,0.0
2,861.0,0.0
3,233.0,0.0
4,65.0,0.0
5,124.0,0.0
6,78.0,-5.0
7,106.0,-17.0
8,151.0,-29.0
9,201.0,-18.0
10,224.0,41.0
11,188.0,161.0
12,183.0,326.0
13,2282.0,-209.0
14,2282.0,-236.0
15,2280.0,-262.0
16,2282.0,-300.0
17,2276.0,-360.0
18,2276.0,-449.0
19,2155.0,-562.0
20,1619.0,-681.0
21,1224.0,-779.0
22,1067.0,-829.0
23,1060.0,-817.0
24,1083.0,-741.0
25,1110.0,-620.0
26,1123.0,-482.0
27,-27.0,-1079.0
28,-26.0,-959.0
29,-23.0,-853.0
30,-23.0,-771.0
31,-24.0,-710.0
32,-24.0,-658.0
33,-25.0,-603.0
34,-22.0,-534.0
35,-21.0,-452.0
36,-23.0,-359.0
37,-25.0,-263.0
38,-23.0,-171.0
39,-24.0,-91.0
40,-21.0,-24.0
41,-23.0,29.0
42,-25.0,72.0
43,-20.0,110.0
44,-33.0,144.0
45,-24.0,177.0
46,-25.0,208.0
47,-22.0,239.0
48,-19.0,270.0
49,-19.0,298.0
50,-25.0,326.0
51,-27.0,351.0
52,-21.0,375.0
53,-22.0,397.0
54,-19.0,418.0
55,-25.0,437.0
56,-27.0,454.0
57,-25.0,471.0
58,-26.0,486.0
59,-19.0,501.0
60,-20.0,514.0
61,-19.0,527.0
62,-25.0,538.0
63,-23.0,548.0
64,-20.0,557.0
65,-25.0,564.0
66,-21.0,571.0
67,-22.0,576.0
68,-29.0,580.0
69,-23.0,584.0
70,-18.0,587.0
71,-26.0,589.0
72,-20.0,590.0
73,-22.0,591.0
74,-26.0,591.0
75,-19.0,590.0
76,-25.0,588.0
77,-16.0,585.0
78,-16.0,581.0
79,-21.0,576.0
80,-25.0,571.0
81,-16.0,566.0
82,-24.0,560.0
83,-20.0,553.0
84,-21.0,547.0
85,-22.0,540.0
86,-26.0,532.0
87,-23.0,524.0
88,-21.0,515.0
89,-22.0,506.0
90,-24.0,497.0
91,-27.0,488.0
92,-25.0,478.0
93,-21.0,467.0
94,-22.0,456.0
95,-23.0,445.0
96,-20.0,434.0
97,-26.0,422.0
98,-20.0,410.0
99,-23.0,398.0
100,-27.0,386.0
101,-23.0,373.0
102,-18.0,361.0
103,-25.0,349.0
104,-27.0,337.0
105,-25.0,324.0
106,-25.0,312.0
107,-16.0,300.0
108,-19.0,276.0
109,-27.0,264.0
110,-25.0,252.0
111,-21.0,240.0
112,-21.0,228.0
113,-22.0,215.0
114,-27.0,203.0
115,-24.0,191.0
116,-26.0,180.0
117,-25.0,168.0
118,-24.0,157.0
119,-26.0,146.0
120,-23.0,135.0
121,-23.0,124.0
122,-20.0,113.0
123,-26.0,103.0
124,-18.0,92.0
125,-26.0,81.0
126,-19.0,71.0
127,-27.0,60.0
128,-23.0,50.0
129,-27.0,40.0
130,-24.0,31.0
131,-24.0,22.0
132,-24.0,13.0
133,-23.0,5.0
134,-20.0,-2.0
135,-23.0,-10.0
136,-20.0,-18.0
137,-23.0,-26.0
138,-22.0,-33.0
139,-25.0,-41.0
140,-25.0,-48.0
141,-22.0,-55.0
142,-24.0,-62.0
143,-27.0,-69.0
144,-19.0,-75.0
145,-22.0,-80.0
146,-24.0,-86.0
147,-20.0,-91.0
148,-24.0,-96.0
149,-24.0,-101.0
150,-23.0,-106.0
151,-29.0,-111.0
152,-28.0,-116.0
153,-21.0,-121.0
154,-21.0,-126.0
155,-24.0,-130.0
156,-26.0,-134.0
157,-21.0,-138.0
158,-23.0,-141.0
159,-24.0,-144.0
160,-23.0,-148.0
161,-33.0,-151.0
162,-25.0,-155.0
163,-23.0,-158.0
164,-21.0,-161.0
165,-23.0,-164.0
166,-25.0,-166.0
167,-23.0,-168.0
168,-22.0,-169.0
169,-33.0,-171.0
170,-20.0,-172.0
171,-20.0,-173.0
172,-25.0,-175.0
173,-27.0,-177.0
174,-22.0,-178.0
175,-24.0,-179.0
176,-21.0,-175.0
177,-20.0,-174.0
178,-16.0,-173.0
179,-24.0,-171.0
180,-27.0,-170.0
181,-25.0,-169.0
182,-23.0,-168.0
183,-25.0,-166.0
184,-24.0,-165.0
185,-23.0,-163.0
186,-18.0,-162.0
187,-19.0,-160.0
188,-22.0,-157.0
189,-16.0,-155.0
190,-22.0,-153.0
191,-27.0,-151.0
192,-22.0,-149.0
193,-16.0,-147.0
194,-24.0,-146.0
195,-25.0,-144.0
196,-22.0,-142.0
197,-27.0,-140.0
198,-20.0,-137.0
199,-24.0,-133.0
200,-23.0,-101.0
201,-22.0,-99.0
202,-26.0,-96.0
203,-23.0,-94.0
204,-19.0,-91.0
205,-22.0,-88.0
206,-22.0,-85.0
207,-15.0,-82.0
208,-20.0,-79.0
209,-20.0,-75.0
210,-19.0,-73.0
211,-25.0,-70.0
212,-25.0,-68.0
213,-25.0,-66.0
214,-20.0,-64.0
215,-22.0,-59.0
216,-21.0,-56.0
217,-21.0,-53.0
218,-24.0,-50.0
219,-22.0,-47.0
220,-23.0,-44.0
221,-20.0,-42.0
222,-23.0,-40.0
223,-21.0,-39.0
224,-24.0,-37.0
225,-24.0,-36.0
226,-33.0,-34.0
227,-20.0,-25.0
228,-19.0,-23.0
229,-29.0,-21.0
230,-19.0,-19.0
231,-16.0,-17.0
232,-23.0,-15.0
233,-16.0,-14.0
234,-20.0,-13.0
235,-23.0,9.0
236,-25.0,10.0
237,-25.0,10.0
238,-23.0,11.0
239,-27.0,12.0
240,-22.0,13.0
241,-25.0,14.0
242,-17.0,15.0
243,-21.0,16.0
244,-20.0,17.0
245,-20.0,17.0
246,-22.0,18.0
247,-25.0,18.0
248,-23.0,19.0
249,-18.0,19.0
250,-21.0,20.0
251,-21.0,21.0
252,-20.0,22.0
253,-23.0,23.0
254,-20.0,25.0
255,-24.0,26.0
256,-25.0,28.0
257,-18.0,29.0
258,-22.0,29.0
259,-23.0,32.0
260,-23.0,32.0
261,-20.0,32.0
262,-18.0,32.0
263,-18.0,32.0
264,-24.0,32.0
265,-22.0,32.0
266,-25.0,32.0
267,-22.0,32.0
268,-25.0,32.0
269,-25.0,33.0
270,-16.0,33.0
271,-24.0,33.0
272,-22.0,33.0
273,-20.0,33.0
274,-16.0,34.0
275,-28.0,34.0
276,-23.0,35.0
277,-25.0,34.0
278,-20.0,34.0
279,-19.0,33.0
280,-18.0,32.0
281,-20.0,32.0
282,-23.0,32.0
283,-14.0,32.0
284,-25.0,32.0
285,-20.0,32.0
286,-23.0,32.0
287,-24.0,32.0
288,-25.0,31.0
289,-20.0,30.0
290,-29.0,30.0
291,-29.0,30.0
292,-26.0,30.0
293,-16.0,30.0
294,-22.0,30.0
295,-26.0,30.0
296,-16.0,30.0
297,-21.0,29.0
298,-22.0,28.0
299,-20.0,27.0
300,-22.0,26.0
301,-26.0,25.0
302,-24.0,23.0
303,-15.0,23.0
304,-22.0,22.0
305,-23.0,22.0
306,-29.0,22.0
307,-29.0,23.0
308,-21.0,23.0
309,-20.0,23.0
310,-25.0,23.0
311,-25.0,23.0
312,-23.0,22.0
313,-23.0,22.0
314,-25.0,21.0
315,-20.0,21.0
316,-19.0,20.0
317,-21.0,20.0
318,-21.0,19.0
319,-25.0,18.0
320,-27.0,18.0
